,uniprot1,uniprot2,symbol1,symbol2,methods,pids,ndb,dbs,exp,go1,go2
23,P27694,Q9H9A7,RPA1,RMI1,"affinity chromatography technology, anti bait coimmunoprecipitation, tandem affinity purification","15775963, 24126761, 24332808",3,"biogrid, iid-pred, intact, mint","exp, pred","GO:0006294, GO:0006297, GO:0006296, GO:0034502, GO:0019985, GO:0000082, GO:0006298, GO:0042769, GO:0000784, GO:0007004, GO:0000723, GO:0043565, GO:0016605, GO:0051321, GO:0006293, GO:0000724, GO:0043047, GO:0005634, GO:0033683, GO:0005654, GO:0006260, GO:0006261, GO:0046872, GO:0006268, GO:0003697, GO:0006284, GO:0006283, GO:0006281, GO:0006289, GO:0006974, GO:0042276, GO:0006310, GO:1900034, GO:0098505, GO:0032201, GO:0036297, GO:0070987, GO:0005662, GO:0005515, GO:0003684","GO:0016604, GO:0005515, GO:0009749, GO:0005654, GO:0042593, GO:0006260, GO:0002023, GO:0035264, GO:0000166"
24,P38398,Q9GZX5,BRCA1,ZNF350,"affinity chromatography technology, coimmunoprecipitation, pull down, two hybrid","11090615, 16843262, 23991171",3,"biogrid, hprd, intact",exp,"GO:0006633, GO:1902042, GO:0035066, GO:0035067, GO:1990904, GO:0044030, GO:0050681, GO:0033147, GO:0019899, GO:0008274, GO:0010628, GO:0008270, GO:0045766, GO:0003677, GO:0005634, GO:0042981, GO:0044818, GO:0005737, GO:0005654, GO:0006349, GO:0070063, GO:0006302, GO:0006301, GO:0000724, GO:0071356, GO:0006978, GO:0000729, GO:0003713, GO:0000800, GO:0071158, GO:0070512, GO:0085020, GO:0006260, GO:0031398, GO:0070531, GO:0007098, GO:0043009, GO:0005694, GO:0006303, GO:0042127, GO:0072425, GO:2000378, GO:2000620, GO:0005515, GO:0006281, GO:0006357, GO:0006915, GO:0006974, GO:0045892, GO:0070317, GO:0046600, GO:0005886, GO:0043627, GO:0051571, GO:0051572, GO:0051573, GO:0051574, GO:2000617, GO:0071681, GO:0010212, GO:0044212, GO:0031625, GO:0032991, GO:0008630, GO:0009048, GO:0004842, GO:0016579, GO:0010575, GO:0030521, GO:0015631, GO:0000151, GO:0003684, GO:0016567, GO:0051865, GO:0045944, GO:0006351, GO:0007059, GO:0003723, GO:0031436, GO:0045739, GO:0006359, GO:0045717, GO:0045893","GO:0044212, GO:0001227, GO:0016604, GO:0016363, GO:0017053, GO:0000122, GO:0003700, GO:0005634, GO:0001162, GO:0005654, GO:0006355, GO:0045892, GO:0006351, GO:0005515, GO:0003677, GO:0045944, GO:0046872, GO:0000981"
26,P09874,Q9NTX7,PARP1,RNF146,"affinity chromatography technology, enzymatic study, pull down","21825151, 26186194, 28514442",3,biogrid,exp,"GO:0044030, GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:2001170, GO:1903827, GO:0000724, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0000715, GO:0007005, GO:0000723, GO:0016020, GO:0071294, GO:0006302, GO:0000122, GO:0030331, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0045944, GO:0070412, GO:0006366, GO:1904646, GO:1990404, GO:0042826, GO:0010332, GO:0042802, GO:0000977, GO:0006915, GO:0005667, GO:1903518, GO:0006281, GO:0008134, GO:0050790, GO:0033148, GO:0006974, GO:1904357, GO:0036211, GO:0070212, GO:1901216, GO:0032991, GO:0034599, GO:0007179, GO:0010613, GO:1900182, GO:1904044, GO:0032993, GO:0047485, GO:0016540, GO:0005730, GO:0060391, GO:0010990, GO:0019901, GO:0051901, GO:0003723, GO:0005515, GO:0001228, GO:1904762, GO:1990966, GO:1903376, GO:2000679, GO:0008270","GO:0072572, GO:0090263, GO:0004842, GO:0005829, GO:0016055, GO:0005654, GO:0051865, GO:0008270, GO:0005515, GO:0006511, GO:0005886, GO:0070936, GO:0061630"
27,O15304,P12004,SIVA1,PCNA,"affinity chromatography technology, anti tag coimmunoprecipitation, pull down, two hybrid","21988832, 24958773, 26496610",3,"biogrid, intact",exp,"GO:0005737, GO:0046718, GO:0001618, GO:0005175, GO:0097191, GO:0005164, GO:0005654, GO:0005515, GO:0046872","GO:1902065, GO:0006297, GO:0006296, GO:0019985, GO:0000083, GO:0019899, GO:1902990, GO:0043596, GO:0042769, GO:0000784, GO:0034644, GO:0000723, GO:0032355, GO:0016604, GO:0042276, GO:0000701, GO:0005813, GO:0005634, GO:0008283, GO:0030971, GO:0033683, GO:0005654, GO:0005657, GO:0032139, GO:0030855, GO:0046686, GO:0031297, GO:0032405, GO:0030337, GO:0030894, GO:0006283, GO:0030331, GO:0006281, GO:0070301, GO:0032077, GO:0035035, GO:0006298, GO:0006974, GO:0006977, GO:0043626, GO:0045740, GO:0070062, GO:0007507, GO:0071548, GO:0097421, GO:0032201, GO:0070987, GO:0016567, GO:0005663, GO:0044849, GO:0042802, GO:0005515, GO:0006272, GO:0070557, GO:0045739, GO:0003682, GO:0003684, GO:0070182"
28,Q14469,Q9HB96,HES1,FANCE,"affinity chromatography technology, yeast 2-hybrid","18550849, 19321451, 26277624",3,"biogrid, hprd",exp,"GO:2000737, GO:0061309, GO:0060716, GO:0072050, GO:0061626, GO:0001078, GO:0003151, GO:0005654, GO:0007219, GO:0003266, GO:0003714, GO:0042531, GO:0090162, GO:0031016, GO:0060253, GO:0048469, GO:0046331, GO:0001756, GO:0030513, GO:0072049, GO:0035910, GO:2000978, GO:0021537, GO:0048715, GO:0061009, GO:0048711, GO:0003281, GO:0060675, GO:0003677, GO:0043388, GO:0090102, GO:0065003, GO:0016477, GO:0042826, GO:0000981, GO:0043565, GO:0060164, GO:0021558, GO:0060412, GO:0035019, GO:0072141, GO:0097150, GO:0007224, GO:0006351, GO:0030154, GO:0061106, GO:0021555, GO:0021557, GO:2000974, GO:0070888, GO:0005737, GO:0050767, GO:1990837, GO:0072012, GO:0000122, GO:0005634, GO:0051087, GO:0045747, GO:0045977, GO:0042803, GO:0008284, GO:0008134, GO:0045892, GO:0045598, GO:0050678, GO:0045944, GO:0005515, GO:0030324, GO:0021575, GO:0072282, GO:0001889, GO:0042668, GO:0021984, GO:0071820, GO:0048844, GO:0048538, GO:0045608, GO:0000977, GO:0048667, GO:0046427, GO:0046425, GO:0042102, GO:0060122, GO:0097084, GO:0007155, GO:0003143, GO:0007399, GO:0003700, GO:0030901, GO:0021861, GO:2000227","GO:0005654, GO:0006281, GO:0005634, GO:0036297, GO:0006974, GO:0003674, GO:0005515, GO:0043240"
33,P07992,Q96S82,ERCC1,UBL7,"two hybrid, two hybrid array, two hybrid bait and prey pooling approach, two hybrid pooling approach, two hybrid prey pooling approach, validated two hybrid, yeast 2-hybrid","16189514, 25416956, 25910212",3,"biogrid, hprd, intact",exp,"GO:0006295, GO:0008022, GO:0006296, GO:0035264, GO:0006293, GO:0048568, GO:0035166, GO:0008584, GO:0009650, GO:1905765, GO:0000784, GO:0000109, GO:0003677, GO:0006949, GO:1990599, GO:0010165, GO:0001094, GO:0000720, GO:0006303, GO:0006281, GO:0033683, GO:0005654, GO:0046686, GO:0048477, GO:0003697, GO:0006310, GO:0045190, GO:0006283, GO:0008283, GO:0007584, GO:0006312, GO:0006289, GO:0006974, GO:0005669, GO:0007283, GO:0010259, GO:0019904, GO:0000110, GO:0061819, GO:0006979, GO:0090656, GO:0000014, GO:0009744, GO:0001302, GO:0032205, GO:0000710, GO:0036297, GO:0003684, GO:0035902, GO:0070914, GO:0005515, GO:0070522, GO:1904431, GO:0005829, GO:0070911",GO:0005515
34,P56180,Q9BXW9,TPTE,FANCD2,"affinity chromatography technology, proximity-dependent biotin identification, pull down","27432908, 27880917, 28330616",3,"biogrid, intact",exp,"GO:0008138, GO:0006470, GO:0004725, GO:0007165, GO:0035335, GO:0016021","GO:0097150, GO:0005654, GO:0070182, GO:0016604, GO:0005829, GO:0005730, GO:0048854, GO:0005634, GO:2000348, GO:0050727, GO:0007129, GO:0006974, GO:0000793, GO:0036297, GO:0005515, GO:0045589, GO:0034599, GO:0051090, GO:0006281, GO:0010332, GO:0007276"
35,Q00597,Q9Y2Y4,FANCC,ZBTB32,"affinity chromatography technology, two hybrid, yeast 2-hybrid","10572087, 11986317, 14499622",3,"biogrid, hprd, iid-pred","exp, pred","GO:0005737, GO:0097150, GO:0005829, GO:0006281, GO:0005634, GO:0048854, GO:0002262, GO:0005654, GO:0036297, GO:0006289, GO:0007281, GO:0006974, GO:0005515, GO:0019430, GO:0034599, GO:0065003, GO:0043240","GO:0000122, GO:0005634, GO:0003714, GO:0005654, GO:0008270, GO:0005515, GO:0006366, GO:0003677, GO:0000981"
38,P62068,Q96B01,USP46,RAD51AP1,"affinity chromatography technology, anti tag coimmunoprecipitation","19615732, 26186194, 28514442",3,"biogrid, intact",exp,"GO:0060013, GO:0048149, GO:0032228, GO:0004843, GO:0006511, GO:0005515, GO:0008343, GO:0046872, GO:0016579, GO:0036459, GO:0001662","GO:0010569, GO:0071479, GO:0032991, GO:0006281, GO:0005634, GO:0000724, GO:0036297, GO:0005654, GO:0006974, GO:0000790, GO:0003723, GO:0005515, GO:0003690, GO:0003697"
40,P12004,Q96PU4,PCNA,UHRF2,"affinity chromatography technology, antibody array, far western blotting, unspecified method, x-ray crystallography","21952639, 27114453, 28951215",3,"biogrid, intact",exp,"GO:1902065, GO:0006297, GO:0006296, GO:0019985, GO:0000083, GO:0019899, GO:1902990, GO:0043596, GO:0042769, GO:0000784, GO:0034644, GO:0000723, GO:0032355, GO:0016604, GO:0042276, GO:0000701, GO:0005813, GO:0005634, GO:0008283, GO:0030971, GO:0033683, GO:0005654, GO:0005657, GO:0032139, GO:0030855, GO:0046686, GO:0031297, GO:0032405, GO:0030337, GO:0030894, GO:0006283, GO:0030331, GO:0006281, GO:0070301, GO:0032077, GO:0035035, GO:0006298, GO:0006974, GO:0006977, GO:0043626, GO:0045740, GO:0070062, GO:0007507, GO:0071548, GO:0097421, GO:0032201, GO:0070987, GO:0016567, GO:0005663, GO:0044849, GO:0042802, GO:0005515, GO:0006272, GO:0070557, GO:0045739, GO:0003682, GO:0003684, GO:0070182","GO:0005720, GO:0005654, GO:0042393, GO:0008283, GO:0004842, GO:0005634, GO:0030154, GO:0071158, GO:0016567, GO:0051865, GO:0051726, GO:0005515, GO:0003677, GO:0046872, GO:0061630, GO:0007049, GO:0010216"
43,P40692,Q6NSI4,MLH1,RADX,"two hybrid, two hybrid array, two hybrid prey pooling approach, validated two hybrid","21516116, 25416956, 27229929",3,"biogrid, intact, mint",exp,"GO:0032389, GO:0045190, GO:0006298, GO:0016887, GO:0007060, GO:0048304, GO:0006303, GO:0000289, GO:0005715, GO:0005634, GO:0016020, GO:0007129, GO:0005712, GO:0005654, GO:0043060, GO:0045950, GO:0032137, GO:0048477, GO:0003697, GO:0005524, GO:0048298, GO:0006281, GO:0016321, GO:0006974, GO:0007283, GO:0000795, GO:0045141, GO:0001673, GO:0008630, GO:0000712, GO:0032407, GO:0051257, GO:0032300, GO:0005515, GO:0003682, GO:0016446","GO:2000042, GO:0005657, GO:0003697, GO:0005515, GO:0003723"
45,P51587,Q92831,BRCA2,KAT2B,"affinity chromatography technology, pull down","12815053, 28985013, 9824164",3,"bci, biogrid, hprd, iid-pred","exp, pred","GO:0045931, GO:0008022, GO:0033593, GO:0008585, GO:0000784, GO:0035264, GO:0010225, GO:0010485, GO:0007141, GO:0000722, GO:0032355, GO:0006302, GO:0000724, GO:0005813, GO:0005634, GO:0010332, GO:0004402, GO:0000281, GO:0000800, GO:0001556, GO:0005654, GO:1990426, GO:0048478, GO:0043967, GO:0002020, GO:0032465, GO:0010484, GO:0003697, GO:0042802, GO:0042127, GO:0070200, GO:0051298, GO:0043966, GO:0006281, GO:0030141, GO:0007584, GO:0010778, GO:0006289, GO:0006974, GO:0007283, GO:0045893, GO:0030097, GO:0051598, GO:0006978, GO:0010165, GO:0007420, GO:0032991, GO:0007569, GO:0042771, GO:0031619, GO:0001833, GO:0030879, GO:0033600, GO:0006355, GO:0043150, GO:0005515, GO:0043015, GO:0005829","GO:0007507, GO:0043970, GO:0004402, GO:0006473, GO:0060173, GO:0061733, GO:0003712, GO:0044877, GO:0032869, GO:0042641, GO:0000125, GO:0007219, GO:0045747, GO:0005813, GO:0005634, GO:0031672, GO:0003713, GO:0031674, GO:0005654, GO:0048511, GO:0005671, GO:0006367, GO:0045815, GO:0004468, GO:0000977, GO:0018393, GO:0008285, GO:0005515, GO:0043966, GO:0018394, GO:0008134, GO:0018076, GO:0019901, GO:0004861, GO:0010835, GO:0046600, GO:0000776, GO:0007050, GO:0007221, GO:0032991, GO:0006338, GO:0035948, GO:0042826, GO:0045652, GO:0016407, GO:0045944, GO:0045736, GO:0016032, GO:0003682"
46,P38398,Q15596,BRCA1,NCOA2,"pull down, unspecified method","11085509, 14578343, 16860316",3,"biogrid, iid-pred","exp, pred","GO:0006633, GO:1902042, GO:0035066, GO:0035067, GO:1990904, GO:0044030, GO:0050681, GO:0033147, GO:0019899, GO:0008274, GO:0010628, GO:0008270, GO:0045766, GO:0003677, GO:0005634, GO:0042981, GO:0044818, GO:0005737, GO:0005654, GO:0006349, GO:0070063, GO:0006302, GO:0006301, GO:0000724, GO:0071356, GO:0006978, GO:0000729, GO:0003713, GO:0000800, GO:0071158, GO:0070512, GO:0085020, GO:0006260, GO:0031398, GO:0070531, GO:0007098, GO:0043009, GO:0005694, GO:0006303, GO:0042127, GO:0072425, GO:2000378, GO:2000620, GO:0005515, GO:0006281, GO:0006357, GO:0006915, GO:0006974, GO:0045892, GO:0070317, GO:0046600, GO:0005886, GO:0043627, GO:0051571, GO:0051572, GO:0051573, GO:0051574, GO:2000617, GO:0071681, GO:0010212, GO:0044212, GO:0031625, GO:0032991, GO:0008630, GO:0009048, GO:0004842, GO:0016579, GO:0010575, GO:0030521, GO:0015631, GO:0000151, GO:0003684, GO:0016567, GO:0051865, GO:0045944, GO:0006351, GO:0007059, GO:0003723, GO:0031436, GO:0045739, GO:0006359, GO:0045717, GO:0045893","GO:0032922, GO:0017162, GO:0015721, GO:1904017, GO:0010906, GO:0005737, GO:0016604, GO:0000122, GO:0005634, GO:0003713, GO:0005654, GO:0000981, GO:0019216, GO:0035257, GO:0001162, GO:0030375, GO:0030374, GO:0032870, GO:0019904, GO:0016922, GO:0000978, GO:0032991, GO:0006355, GO:0045944, GO:0006351, GO:0005515, GO:0032570, GO:0046983, GO:0003682, GO:0045475"
48,P15927,Q9H9A7,RPA2,RMI1,"affinity chromatography technology, anti bait coimmunoprecipitation, tandem affinity purification","15775963, 24126761, 24332808",3,"biogrid, iid-pred, intact, mint","exp, pred","GO:0006294, GO:0006297, GO:0006296, GO:0042276, GO:0034502, GO:0019985, GO:0000082, GO:0006298, GO:0019899, GO:0000781, GO:0000785, GO:0000784, GO:0043565, GO:0000723, GO:0010569, GO:0016605, GO:0016604, GO:0006293, GO:0000724, GO:0005634, GO:0033683, GO:0005654, GO:0006260, GO:0003690, GO:0003697, GO:0006284, GO:0006283, GO:0006281, GO:0006289, GO:0006974, GO:0019903, GO:0098505, GO:0031625, GO:0047485, GO:1900034, GO:0031571, GO:0032201, GO:0036297, GO:0070987, GO:0005662, GO:2000001, GO:0005515, GO:0035861, GO:0042769, GO:0003684","GO:0016604, GO:0005515, GO:0009749, GO:0005654, GO:0042593, GO:0006260, GO:0002023, GO:0035264, GO:0000166"
49,O94782,Q6ZVD8,USP1,PHLPP2,"affinity chromatography technology, anti tag coimmunoprecipitation","19615732, 27463890, 27880917",3,"biogrid, iid-pred, intact","exp, pred","GO:0005654, GO:0006282, GO:0006281, GO:0005634, GO:0004197, GO:0004843, GO:0006974, GO:0001501, GO:0009411, GO:0042769, GO:0035520, GO:0005515, GO:0006511, GO:0008233, GO:0016579, GO:0036459","GO:0005737, GO:0042622, GO:0006470, GO:0005634, GO:0004722, GO:0021766, GO:0001917, GO:0005515, GO:0046872, GO:0005829"
50,Q00597,Q93045,FANCC,STMN2,two hybrid,"24676280, 26466335",2,biogrid,exp,"GO:0005737, GO:0097150, GO:0005829, GO:0006281, GO:0005634, GO:0048854, GO:0002262, GO:0005654, GO:0036297, GO:0006289, GO:0007281, GO:0006974, GO:0005515, GO:0019430, GO:0034599, GO:0065003, GO:0043240","GO:0005737, GO:0005794, GO:1990090, GO:0007019, GO:0031115, GO:0005515, GO:0007026, GO:0030027, GO:0005768, GO:0016020, GO:0051493, GO:0015631, GO:0030426, GO:0048306, GO:0010977, GO:0010976, GO:0043005, GO:0031175, GO:0031117, GO:0048471, GO:0043025"
53,Q6UWZ7,Q8WW24,ABRAXAS1,TEKT4,affinity chromatography technology,"26186194, 28514442",2,biogrid,exp,"GO:0072425, GO:0005654, GO:0016604, GO:0006303, GO:0006302, GO:0006281, GO:0006325, GO:0005634, GO:0006974, GO:0005515, GO:0031593, GO:0070531, GO:0010212, GO:0045739, GO:0016579","GO:0005737, GO:0030317, GO:0060271, GO:0005634, GO:0060294, GO:0005515, GO:0005874, GO:0036126"
54,O15111,O15360,CHUK,FANCA,"affinity chromatography technology, anti tag coimmunoprecipitation, two hybrid","12210728, 14499622",2,"biogrid, iid-pred, innatedb","exp, pred","GO:0035631, GO:0018105, GO:0002479, GO:0038061, GO:0033209, GO:0010803, GO:0006468, GO:0009898, GO:0070498, GO:0051146, GO:0042803, GO:0032496, GO:0009653, GO:0005737, GO:0043200, GO:0007252, GO:0071356, GO:0009615, GO:0009636, GO:0005654, GO:0004674, GO:0004672, GO:0008385, GO:0008384, GO:0005524, GO:0043123, GO:0050852, GO:0098586, GO:0005515, GO:0045087, GO:0034614, GO:0071276, GO:0035666, GO:0007249, GO:0051403, GO:0045893, GO:0006954, GO:0006955, GO:0007266, GO:0010034, GO:0003009, GO:0051092, GO:0002756, GO:0046982, GO:0043231, GO:0005829, GO:0042493, GO:0032088, GO:0045944, GO:0042802, GO:0033194, GO:0038095, GO:0002223, GO:1902741, GO:0097110","GO:0005737, GO:0042127, GO:0051090, GO:0006281, GO:0005634, GO:2000348, GO:0050727, GO:0008585, GO:0036297, GO:0005654, GO:0006974, GO:0065003, GO:0005515, GO:0045589, GO:0008584, GO:0043240, GO:0007140"
