PROTID;GENEID;DEFLINE;NumExp;Total;FREQ;ALL_NUMSPECSTOT;ALL_NUMSPECSUNIQ
NP_778235.1;HIST2H2AB;histone H2A type 2-B [Homo sapiens];180;334;0.524781;909;909
NP_000968.2;RPL13;60S ribosomal protein L13 [Homo sapiens];179;334;0.521866;1044;1044
NP_005316.1;HIST1H1A;histone H1.1 [Homo sapiens];179;334;0.521866;851;30
NP_005314.2;HIST1H1T;histone H1t [Homo sapiens];178;334;0.51895;770;1
NP_001091674.1;HNRNPF;heterogeneous nuclear ribonucleoprotein F [Homo sapiens];177;334;0.516035;1464;416
NP_001143.2;SLC25A5;ADP/ATP translocase 2 [Homo sapiens];176;334;0.51312;1290;1290
NP_002147.2;HSPD1;60 kDa heat shock protein, mitochondrial [Homo sapiens];174;334;0.507289;2236;2236
NP_005959.2;HNRNPM;heterogeneous nuclear ribonucleoprotein M isoform a [Homo sapiens];174;334;0.507289;3018;3018
NP_001029249.1;HIST2H4B;histone H4 [Homo sapiens];172;334;0.501458;2923;2923
NP_001203.1;C1QBP;complement component 1 Q subcomponent-binding protein, mitochondrial precursor [Homo sapiens];171;334;0.498542;1760;1760
NP_002268.2;KRT31;keratin, type I cuticular Ha1 [Homo sapiens];171;334;0.498542;1222;285
NP_000995.1;RPLP2;60S acidic ribosomal protein P2 [Homo sapiens];170;334;0.495627;1189;1189
NP_001003.1;RPS8;40S ribosomal protein S8 [Homo sapiens];169;334;0.492711;1237;1237
NP_001019.1;RPS25;40S ribosomal protein S25 [Homo sapiens];168;334;0.489796;721;721
NP_476429.2;KRT3;keratin, type II cytoskeletal 3 [Homo sapiens];167;334;0.48688;1726;533
NP_001104026.1;FLNA;filamin-A isoform 2 [Homo sapiens];166;334;0.483965;4651;4651
NP_444513.1;DCD;dermcidin preproprotein [Homo sapiens];164;334;0.478134;780;780
NP_001138880.1;NONO;non-POU domain-containing octamer-binding protein isoform 1 [Homo sapiens];162;334;0.472303;3146;2952
NP_001419.1;ENO1;alpha-enolase isoform 1 [Homo sapiens];162;334;0.472303;2707;457
NP_000972.1;RPL19;60S ribosomal protein L19 [Homo sapiens];160;334;0.466472;668;668
NP_002129.2;HNRNPD;heterogeneous nuclear ribonucleoprotein D0 isoform c [Homo sapiens];160;334;0.466472;645;33
NP_001003810.1;HNRNPD;heterogeneous nuclear ribonucleoprotein D0 isoform d [Homo sapiens];158;334;0.460641;615;3
NP_000963.1;RPL7A;60S ribosomal protein L7a [Homo sapiens];157;334;0.457726;1121;1121
NP_001011.1;RPS16;40S ribosomal protein S16 [Homo sapiens];157;334;0.457726;1045;1045
NP_000959.2;RPL4;60S ribosomal protein L4 [Homo sapiens];156;334;0.45481;1613;1613
NP_001001.2;RPS6;40S ribosomal protein S6 [Homo sapiens];156;334;0.45481;931;931
NP_066953.1;PPIA;peptidyl-prolyl cis-trans isomerase A [Homo sapiens];156;334;0.45481;819;819
NP_001001937.1;ATP5A1;ATP synthase subunit alpha, mitochondrial precursor [Homo sapiens];155;334;0.451895;1370;1370
NP_001627.2;SLC25A6;ADP/ATP translocase 3 [Homo sapiens];155;334;0.451895;1067;1067
NP_002943.2;RPS2;40S ribosomal protein S2 [Homo sapiens];155;334;0.451895;1194;1194
NP_000981.1;RPL27A;60S ribosomal protein L27a [Homo sapiens];154;334;0.44898;538;538
NP_000997.1;RPS3A;40S ribosomal protein S3a [Homo sapiens];154;334;0.44898;1393;1393
NP_001002.1;RPS7;40S ribosomal protein S7 [Homo sapiens];154;334;0.44898;790;790
NP_001677.2;ATP5B;ATP synthase subunit beta, mitochondrial precursor [Homo sapiens];154;334;0.44898;1373;1373
NP_005800.3;PRDX2;peroxiredoxin-2 isoform a [Homo sapiens];154;334;0.44898;698;426
NP_000993.1;RPLP0;60S acidic ribosomal protein P0 [Homo sapiens];153;334;0.446064;1272;1272
NP_001138898.1;CSDA;DNA-binding protein A isoform b [Homo sapiens];153;334;0.446064;804;804
NP_001348.2;DHX9;ATP-dependent RNA helicase A [Homo sapiens];153;334;0.446064;2173;2173
NP_000966.2;RPL11;60S ribosomal protein L11 isoform 1 [Homo sapiens];152;334;0.443149;559;559
NP_001180345.1;DDX3X;ATP-dependent RNA helicase DDX3X isoform 2 [Homo sapiens];152;334;0.443149;1442;1253
NP_003642.3;CSDA;DNA-binding protein A isoform a [Homo sapiens];152;334;0.443149;876;876
NP_733759.1;HIST1H2BA;histone H2B type 1-A [Homo sapiens];152;334;0.443149;1106;1106
NP_001188412.1;ENO1;c-myc promoter-binding protein-1 isoform MBP-1 [Homo sapiens];152;334;0.443149;1951;8
NP_000967.1;RPL12;60S ribosomal protein L12 [Homo sapiens];150;334;0.437318;803;803
NP_001021.1;RPS27;40S ribosomal protein S27 [Homo sapiens];150;334;0.437318;482;158
NP_001142.2;SLC25A4;ADP/ATP translocase 1 [Homo sapiens];149;334;0.434402;826;826
NP_000970.1;RPL18;60S ribosomal protein L18 [Homo sapiens];148;334;0.431487;884;884
NP_000977.1;RPL24;60S ribosomal protein L24 [Homo sapiens];148;334;0.431487;584;584
NP_001013.1;RPS19;40S ribosomal protein S19 [Homo sapiens];148;334;0.431487;1019;1019
NP_001952.1;EEF2;elongation factor 2 [Homo sapiens];148;334;0.431487;1939;1885
NP_002464.1;MYH9;myosin-9 [Homo sapiens];148;334;0.431487;4440;4429
NP_006752.1;YWHAE;14-3-3 protein epsilon [Homo sapiens];148;334;0.431487;986;819
NP_000976.1;RPL17;60S ribosomal protein L17 isoform a [Homo sapiens];147;334;0.428571;737;737
NP_004490.2;HNRNPAB;heterogeneous nuclear ribonucleoprotein A/B isoform b [Homo sapiens];147;334;0.428571;538;465
NP_003008.1;SRSF3;serine/arginine-rich splicing factor 3 [Homo sapiens];146;334;0.425656;575;368
NP_005498.1;CFL1;cofilin-1 [Homo sapiens];146;334;0.425656;507;275
NP_008869.1;SNRPD1;small nuclear ribonucleoprotein Sm D1 [Homo sapiens];145;334;0.422741;1304;1304
NP_001070910.1;HNRNPC;heterogeneous nuclear ribonucleoproteins C1/C2 isoform a [Homo sapiens];144;334;0.419825;1070;1070
NP_001070911.1;HNRNPC;heterogeneous nuclear ribonucleoproteins C1/C2 isoform b [Homo sapiens];144;334;0.419825;1125;1125
NP_001116137.1;DDX3Y;ATP-dependent RNA helicase DDX3Y [Homo sapiens];143;334;0.41691;984;795
NP_006363.4;SYNCRIP;heterogeneous nuclear ribonucleoprotein Q isoform 1 [Homo sapiens];143;334;0.41691;964;964
NP_005057.1;SFPQ;splicing factor, proline- and glutamine-rich [Homo sapiens];142;334;0.413994;2645;2460
NP_001004.2;RPS9;40S ribosomal protein S9 [Homo sapiens];139;334;0.405248;961;961
NP_001008.1;RPS13;40S ribosomal protein S13 [Homo sapiens];139;334;0.405248;636;636
NP_001026854.1;SRSF7;serine/arginine-rich splicing factor 7 isoform 1 [Homo sapiens];139;334;0.405248;557;350
NP_001524.2;HNRNPL;heterogeneous nuclear ribonucleoprotein L isoform a [Homo sapiens];139;334;0.405248;1446;1419
NP_004166.1;SNRPD3;small nuclear ribonucleoprotein Sm D3 [Homo sapiens];139;334;0.405248;1403;1403
NP_005547.3;KRT7;keratin, type II cytoskeletal 7 [Homo sapiens];139;334;0.405248;1164;454
NP_006100.2;PRMT5;protein arginine N-methyltransferase 5 isoform a [Homo sapiens];139;334;0.405248;32512;32512
NP_000962.2;RPL7;60S ribosomal protein L7 [Homo sapiens];138;334;0.402332;1169;1169
NP_000974.1;RPL22;60S ribosomal protein L22 proprotein [Homo sapiens];138;334;0.402332;442;442
NP_057004.1;RPS27L;40S ribosomal protein S27-like [Homo sapiens];137;334;0.399417;358;34
NP_001005.1;RPS10;40S ribosomal protein S10 [Homo sapiens];136;334;0.396501;757;756
NP_001164105.1;FUS;RNA-binding protein FUS isoform 2 [Homo sapiens];136;334;0.396501;2238;1835
NP_005817.1;HNRNPR;heterogeneous nuclear ribonucleoprotein R isoform 2 [Homo sapiens];136;334;0.396501;1076;1076
NP_110379.2;TCP1;T-complex protein 1 subunit alpha isoform a [Homo sapiens];136;334;0.396501;1492;1492
NP_000961.2;RPL6;60S ribosomal protein L6 [Homo sapiens];135;334;0.393586;1738;1738
NP_000984.1;RPL31;60S ribosomal protein L31 isoform 1 [Homo sapiens];135;334;0.393586;481;481
NP_002130.2;RBMX;heterogeneous nuclear ribonucleoprotein G isoform 1 [Homo sapiens];135;334;0.393586;1201;1201
NP_005773.3;ALYREF;THO complex subunit 4 [Homo sapiens];135;334;0.393586;828;828
NP_000964.1;RPL8;60S ribosomal protein L8 [Homo sapiens];134;334;0.390671;837;837
NP_000979.1;RPL27;60S ribosomal protein L27 [Homo sapiens];134;334;0.390671;530;530
NP_001129171.1;YWHAZ;14-3-3 protein zeta/delta [Homo sapiens];134;334;0.390671;607;406
NP_003320.2;TXN;thioredoxin [Homo sapiens];134;334;0.390671;350;350
NP_066964.1;XRCC5;X-ray repair cross-complementing protein 5 [Homo sapiens];134;334;0.390671;956;956
NP_001191397.1;RBM10;RNA-binding protein 10 isoform 5 [Homo sapiens];133;334;0.387755;3289;3255
NP_001988.1;FAU;ubiquitin-like protein fubi and ribosomal protein S30 precursor [Homo sapiens];133;334;0.387755;322;322
NP_006187.2;PCBP1;poly(rC)-binding protein 1 [Homo sapiens];133;334;0.387755;1182;1182
NP_524147.2;MYL6;myosin light polypeptide 6 isoform 2 [Homo sapiens];133;334;0.387755;584;584
NP_000994.1;RPLP1;60S acidic ribosomal protein P1 isoform 1 [Homo sapiens];132;334;0.38484;551;551
NP_001395.1;EEF1G;elongation factor 1-gamma [Homo sapiens];132;334;0.38484;783;783
NP_003082.1;SNRPB;small nuclear ribonucleoprotein-associated proteins B and B_ isoform B [Homo sapiens];132;334;0.38484;2004;2004
NP_919223.1;HNRNPA3;heterogeneous nuclear ribonucleoprotein A3 [Homo sapiens];132;334;0.38484;645;645
NP_001407.1;EIF4A1;eukaryotic initiation factor 4A-I isoform 1 [Homo sapiens];131;334;0.381924;1145;1145
NP_003132.2;TRIM21;E3 ubiquitin-protein ligase TRIM21 [Homo sapiens];131;334;0.381924;5435;5435
NP_004719.2;DDX21;nucleolar RNA helicase 2 [Homo sapiens];131;334;0.381924;1450;1276
NP_005110.2;THRAP3;thyroid hormone receptor-associated protein 3 [Homo sapiens];131;334;0.381924;2415;2320
NP_006422.1;CCT2;T-complex protein 1 subunit beta isoform 1 [Homo sapiens];131;334;0.381924;1645;1645
NP_114366.1;PCBP2;poly(rC)-binding protein 2 isoform b [Homo sapiens];131;334;0.381924;774;774
NP_001017.1;RPS24;40S ribosomal protein S24 isoform c [Homo sapiens];130;334;0.379009;581;581
NP_003118.2;SPTAN1;spectrin alpha chain, brain isoform 2 [Homo sapiens];130;334;0.379009;3526;3526
NP_004588.1;SNRPD2;small nuclear ribonucleoprotein Sm D2 isoform 1 [Homo sapiens];130;334;0.379009;790;790
NP_004850.1;CLTC;clathrin heavy chain 1 [Homo sapiens];130;334;0.379009;1748;1748
NP_008835.5;PRKDC;DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens];130;334;0.379009;2183;2183
NP_009140.1;RPL35;60S ribosomal protein L35 [Homo sapiens];130;334;0.379009;520;520
NP_001182461.1;SPTAN1;spectrin alpha chain, brain isoform 3 [Homo sapiens];129;334;0.376093;3505;3505
NP_003119.2;SPTBN1;spectrin beta chain, brain 1 isoform 1 [Homo sapiens];129;334;0.376093;3377;3377
NP_009202.1;STK38;serine/threonine-protein kinase 38 [Homo sapiens];129;334;0.376093;8126;7191
NP_036205.1;CCT5;T-complex protein 1 subunit epsilon [Homo sapiens];129;334;0.376093;1473;1473
NP_114368.1;PTBP1;polypyrimidine tract-binding protein 1 isoform c [Homo sapiens];129;334;0.376093;1055;1055
NP_001014.1;RPS20;40S ribosomal protein S20 isoform 2 [Homo sapiens];128;334;0.373178;458;458
NP_006421.2;CCT4;T-complex protein 1 subunit delta [Homo sapiens];128;334;0.373178;1146;1146
NP_000958.1;RPL3;60S ribosomal protein L3 isoform a [Homo sapiens];127;334;0.370262;1427;1427
NP_001181883.1;MATR3;matrin-3 isoform a [Homo sapiens];127;334;0.370262;1422;1422
NP_006576.2;CCT8;T-complex protein 1 subunit theta [Homo sapiens];127;334;0.370262;1572;1572
NP_077007.1;WDR77;methylosome protein 50 [Homo sapiens];127;334;0.370262;10958;10958
NP_000978.1;RPL26;60S ribosomal protein L26 [Homo sapiens];126;334;0.367347;674;674
NP_001000.2;RPS5;40S ribosomal protein S5 [Homo sapiens];126;334;0.367347;500;500
NP_002559.2;PABPC1;polyadenylate-binding protein 1 [Homo sapiens];126;334;0.367347;1201;1201
NP_000025.1;ALDOA;fructose-bisphosphate aldolase A [Homo sapiens];125;334;0.364431;873;873
NP_001010.2;RPS15A;40S ribosomal protein S15a [Homo sapiens];125;334;0.364431;826;826
NP_001012.1;RPS17;40S ribosomal protein S17 [Homo sapiens];125;334;0.364431;716;716
NP_001022.1;RPS28;40S ribosomal protein S28 [Homo sapiens];125;334;0.364431;272;272
NP_001753.1;CCT6A;T-complex protein 1 subunit zeta isoform a [Homo sapiens];125;334;0.364431;1144;1144
NP_005955.1;null;myosin-10 [Homo sapiens];125;334;0.364431;2019;2008
NP_001609.2;PARP1;poly [ADP-ribose] polymerase 1 [Homo sapiens];124;334;0.361516;1729;1729
NP_003290.1;HSP90B1;endoplasmin precursor [Homo sapiens];124;334;0.361516;1524;1305
NP_005989.3;CCT3;T-complex protein 1 subunit gamma isoform a [Homo sapiens];124;334;0.361516;1080;1080
NP_009057.1;VCP;transitional endoplasmic reticulum ATPase [Homo sapiens];124;334;0.361516;2076;2076
NP_842565.2;SPTBN1;spectrin beta chain, brain 1 isoform 2 [Homo sapiens];124;334;0.361516;3079;3079
NP_000652.2;RPL9;60S ribosomal protein L9 [Homo sapiens];123;334;0.358601;751;751
NP_001156008.1;RBMXL1;heterogeneous nuclear ribonucleoprotein G-like 1 [Homo sapiens];123;334;0.358601;804;804
NP_001460.1;XRCC6;X-ray repair cross-complementing protein 6 [Homo sapiens];123;334;0.358601;1060;1060
NP_000990.1;RPL38;60S ribosomal protein L38 [Homo sapiens];122;334;0.355685;913;913
NP_057177.1;RPL26L1;60S ribosomal protein L26-like 1 [Homo sapiens];122;334;0.355685;558;558
NP_001016.1;RPS23;40S ribosomal protein S23 [Homo sapiens];121;334;0.35277;528;528
NP_001030168.1;RPL14;60S ribosomal protein L14 [Homo sapiens];121;334;0.35277;607;607
NP_001408.2;EIF4B;eukaryotic translation initiation factor 4B [Homo sapiens];121;334;0.35277;2606;2606
NP_003595.1;IRS4;insulin receptor substrate 4 [Homo sapiens];121;334;0.35277;1139;1139
NP_006420.1;CCT7;T-complex protein 1 subunit eta isoform a [Homo sapiens];121;334;0.35277;1149;1149
NP_036558.3;SF3B3;splicing factor 3B subunit 3 [Homo sapiens];121;334;0.35277;1822;1822
NP_000983.1;RPL29;60S ribosomal protein L29 [Homo sapiens];120;334;0.349854;371;371
NP_002939.2;RPL15;60S ribosomal protein L15 [Homo sapiens];120;334;0.349854;796;796
NP_006397.1;PRDX4;peroxiredoxin-4 [Homo sapiens];120;334;0.349854;327;123
NP_001958.2;EIF4A2;eukaryotic initiation factor 4A-II [Homo sapiens];119;334;0.346939;669;669
NP_000960.2;RPL5;60S ribosomal protein L5 [Homo sapiens];118;334;0.344023;785;785
NP_001006.1;RPS11;40S ribosomal protein S11 [Homo sapiens];118;334;0.344023;617;617
NP_001018077.1;SERBP1;plasminogen activator inhibitor 1 RNA-binding protein isoform 1 [Homo sapiens];118;334;0.344023;711;711
NP_001157790.1;FLNB;filamin-B isoform 3 [Homo sapiens];118;334;0.344023;931;931
NP_004506.2;ILF2;interleukin enhancer-binding factor 2 [Homo sapiens];118;334;0.344023;702;702
NP_006704.3;SUB1;activated RNA polymerase II transcriptional coactivator p15 [Homo sapiens];118;334;0.344023;693;693
NP_001284.1;CLNS1A;methylosome subunit pICln [Homo sapiens];117;334;0.341108;3378;3378
NP_006004.2;RPL10;60S ribosomal protein L10 [Homo sapiens];117;334;0.341108;687;687
NP_001020.2;RPS26;40S ribosomal protein S26 [Homo sapiens];116;334;0.338192;322;322
NP_001167568.1;LDHB;L-lactate dehydrogenase B chain [Homo sapiens];116;334;0.338192;992;992
NP_001814.2;CKB;creatine kinase B-type [Homo sapiens];116;334;0.338192;1072;1053
NP_005753.1;TRIM28;transcription intermediary factor 1-beta [Homo sapiens];116;334;0.338192;836;836
NP_001180432.1;ENO3;beta-enolase isoform 2 [Homo sapiens];115;334;0.335277;463;9
NP_036565.2;SF3B1;splicing factor 3B subunit 1 isoform 1 [Homo sapiens];115;334;0.335277;1840;1840
NP_055554.1;BCLAF1;bcl-2-associated transcription factor 1 isoform 1 [Homo sapiens];115;334;0.335277;1915;1820
NP_056444.3;PRPF31;U4/U6 small nuclear ribonucleoprotein Prp31 [Homo sapiens];115;334;0.335277;1170;1170
NP_057103.2;LUC7L2;putative RNA-binding protein Luc7-like 2 [Homo sapiens];115;334;0.335277;1668;1668
NP_001349.2;DHX15;putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 [Homo sapiens];114;334;0.332362;1597;1540
NP_001427.2;FBL;rRNA 2_-O-methyltransferase fibrillarin [Homo sapiens];114;334;0.332362;468;468
NP_003478.1;TAF15;TATA-binding protein-associated factor 2N isoform 2 [Homo sapiens];114;334;0.332362;609;206
NP_004095.4;FASN;fatty acid synthase [Homo sapiens];114;334;0.332362;2736;2736
NP_001032752.1;EEF1B2;elongation factor 1-beta [Homo sapiens];113;334;0.329446;366;360
NP_004514.2;KIF11;kinesin-like protein KIF11 [Homo sapiens];113;334;0.329446;6853;6853
NP_036555.1;RPL13A;60S ribosomal protein L13a [Homo sapiens];112;334;0.326531;642;642
NP_001966.1;ENO2;gamma-enolase [Homo sapiens];111;334;0.323615;461;12
NP_060090.2;ILF3;interleukin enhancer-binding factor 3 isoform d [Homo sapiens];111;334;0.323615;1231;1231
NP_068733.1;CFL2;cofilin-2 [Homo sapiens];111;334;0.323615;279;47
NP_001012321.1;RPSA;40S ribosomal protein SA [Homo sapiens];110;334;0.3207;584;584
NP_004332.2;CAD;CAD protein [Homo sapiens];110;334;0.3207;894;889
NP_004893.1;RBM39;RNA-binding protein 39 isoform b [Homo sapiens];110;334;0.3207;1054;1054
NP_112740.1;HNRPDL;heterogeneous nuclear ribonucleoprotein D-like isoform a [Homo sapiens];110;334;0.3207;380;212
NP_003555.1;TAGLN2;transgelin-2 [Homo sapiens];109;334;0.317784;384;384
NP_006817.1;YWHAQ;14-3-3 protein theta [Homo sapiens];109;334;0.317784;468;260
NP_001136077.1;EFTUD2;116 kDa U5 small nuclear ribonucleoprotein component isoform b [Homo sapiens];108;334;0.314869;1275;1221
NP_001138416.1;MYL12B;myosin regulatory light chain 12B [Homo sapiens];108;334;0.314869;453;453
NP_001734.1;CALM2;calmodulin [Homo sapiens];108;334;0.314869;739;739
NP_002256.2;KPNB1;importin subunit beta-1 [Homo sapiens];108;334;0.314869;798;798
NP_002257.1;KPNA2;importin subunit alpha-2 [Homo sapiens];108;334;0.314869;523;523
